Path, Lv, Rating, Mean, Median, Max
2017_01Spring/Chip Memories/easy.csv, 3, 2844, 910, 800, 6563
2017_01Spring/Chip Memories/hard+.csv, 9, 26354, 13407, 11782, 52256
2017_01Spring/Chip Memories/hard.csv, 7, 17766, 8691, 7643, 35818
2017_01Spring/Chip Memories/normal.csv, 6, 8177, 4396, 3909, 15755
2017_01Spring/ClockPoPP/easy.csv, 6, 7673, 4918, 4591, 13163
2017_01Spring/ClockPoPP/hard.csv, 15, 60248, 34274, 29531, 113906
2017_01Spring/ClockPoPP/normal.csv, 14, 32568, 22510, 17888, 56531
2017_01Spring/Colorful41/easy.csv, 2, 717, 556, 392, 1203
2017_01Spring/Colorful41/hard+.csv, 41, 43056, 30031, 24823, 73197
2017_01Spring/Colorful41/hard.csv, 14, 28193, 22362, 21011, 40566
2017_01Spring/Colorful41/normal.csv, 10, 14512, 10556, 6230, 26803
2017_01Spring/DobSchop/easy.csv, 3, 2837, 1392, 778, 6222
2017_01Spring/DobSchop/hard.csv, 7, 10709, 7162, 6222, 18370
2017_01Spring/DobSchop/hardstop.csv, 9, 30960, 13903, 12711, 64000
2017_01Spring/DobSchop/normal.csv, 4, 7679, 3521, 3170, 15802
2017_01Spring/End of the Crusade†/easy.csv, 3, 2629, 1719, 1157, 4961
2017_01Spring/End of the Crusade†/hard+.csv, 9, 16184, 9757, 10101, 27725
2017_01Spring/End of the Crusade†/hard.csv, 8, 16183, 9757, 10102, 27725
2017_01Spring/End of the Crusade†/normal.csv, 5, 10246, 5872, 3502, 21078
2017_01Spring/Enjoy your Teatime/easy.csv, 2, 4121, 2815, 1068, 8542
2017_01Spring/Enjoy your Teatime/hard+.csv, 10, 18863, 14245, 12280, 29684
2017_01Spring/Enjoy your Teatime/hard.csv, 8, 15340, 8694, 8356, 28070
2017_01Spring/Enjoy your Teatime/normal.csv, 4, 6295, 4893, 4271, 9610
2017_01Spring/Era/easy.csv, 3, 8680, 4721, 2344, 18750
2017_01Spring/Era/hard.csv, 11, 44145, 26283, 20521, 83902
2017_01Spring/Era/normal.csv, 6, 20512, 7984, 5000, 47188
2017_01Spring/Marten Site/easy.csv, 5, 5050, 2677, 1225, 11116
2017_01Spring/Marten Site/hard+.csv, 13, 41700, 23003, 19066, 80923
2017_01Spring/Marten Site/hard.csv, 12, 41098, 22076, 18141, 80923
2017_01Spring/Marten Site/normal.csv, 9, 32625, 8360, 7604, 78551
2017_01Spring/Midnight Party/easy.csv, 4, 15081, 2522, 2000, 39000
2017_01Spring/Midnight Party/hard.csv, 11, 41178, 28260, 20533, 73999
2017_01Spring/Midnight Party/normal.csv, 6, 16849, 6545, 2333, 40800
2017_01Spring/Mirror Mirage/back.csv, 14, 16382, 10376, 8661, 29497
2017_01Spring/Mirror Mirage/hard.csv, 8, 16382, 10376, 8661, 29497
2017_01Spring/Mirror Mirage/mirror.csv, 14, 16382, 10376, 8661, 29497
2017_01Spring/MUTANTE/easy.csv, 5, 8527, 4183, 3221, 17694
2017_01Spring/MUTANTE/hard.csv, 12, 53156, 24367, 22383, 108889
2017_01Spring/MUTANTE/normal.csv, 7, 14535, 8005, 6086, 28856
2017_01Spring/New Sky/easy.csv, 4, 8180, 3922, 2250, 18000
2017_01Spring/New Sky/hard.csv, 11, 37023, 20533, 16725, 72000
2017_01Spring/New Sky/normal.csv, 8, 17445, 9568, 8100, 33750
2017_01Spring/OMG poizone/easy.csv, 5, 10358, 5613, 2700, 22500
2017_01Spring/OMG poizone/hard.csv, 12, 63736, 35345, 27000, 126000
2017_01Spring/OMG poizone/normal.csv, 7, 27982, 8379, 6750, 66250
2017_01Spring/OtomeFantasia/easy.csv, 1, 1404, 423, 510, 3126
2017_01Spring/OtomeFantasia/hard.csv, 5, 11188, 3576, 2595, 26447
2017_01Spring/OtomeFantasia/normal.csv, 3, 4414, 1600, 613, 10768
2017_01Spring/OtomeFantasia/Wonderland.csv, 10, 26595, 15507, 14589, 48234
2017_01Spring/SAKANA/easy.csv, 3, 5669, 2420, 1634, 12603
2017_01Spring/SAKANA/hard.csv, 9, 20880, 11922, 9202, 40624
2017_01Spring/SAKANA/normal.csv, 5, 7824, 5167, 4201, 13863
2017_01Spring/StarLand/easy.csv, 3, 2324, 1197, 1020, 4620
2017_01Spring/StarLand/hoshikes.csv, 10, 24431, 17448, 17664, 37151
2017_01Spring/StarLand/normal.csv, 5, 7744, 5161, 4920, 12816
2017_01Spring/StarLight/easy.csv, 2, 2281, 885, 380, 5451
2017_01Spring/StarLight/hoshikes.csv, 9, 22827, 14694, 13722, 39042
2017_01Spring/StarLight/normal.csv, 5, 8928, 5066, 4412, 16847
2017_01Spring/Teretere/easy.csv, 2, 3422, 821, 708, 8382
2017_01Spring/Teretere/hard.csv, 10, 25292, 16225, 14042, 44625
2017_01Spring/Teretere/normal.csv, 5, 9784, 5406, 4281, 19200
2017_01Spring/WAV虎PoPP/easy.csv, 10, 28166, 14355, 14309, 53867
2017_01Spring/WAV虎PoPP/hard.csv, 15, 78580, 54131, 46211, 133038
2017_01Spring/WAV虎PoPP/normal.csv, 12, 46409, 28011, 26587, 82205
2017_01Spring/WhiteDragoon/easy.csv, 4, 7545, 3596, 3035, 15520
2017_01Spring/WhiteDragoon/hard.csv, 10, 38660, 16720, 13773, 82775
2017_01Spring/WhiteDragoon/normal.csv, 6, 18242, 7523, 6600, 39202
2017_01Spring/ハルノカケラ/easy.csv, 2, 2011, 727, 435, 4731
2017_01Spring/ハルノカケラ/hard+.csv, 11, 32562, 18596, 16657, 60714
2017_01Spring/ハルノカケラ/hard.csv, 8, 22005, 8308, 5668, 50460
2017_01Spring/ハルノカケラ/normal.csv, 5, 6037, 3489, 1629, 12895
2017_01Spring/冬将軍再到来/easy.csv, 3, 6752, 2730, 1944, 15120
2017_01Spring/冬将軍再到来/hard.csv, 11, 61016, 25373, 15984, 137940
2017_01Spring/冬将軍再到来/normal.csv, 5, 10436, 5527, 4428, 20808
2017_01Spring/煉堕/easy.csv, 3, 4176, 2621, 1100, 8801
2017_01Spring/煉堕/fallenAngel.csv, 14, 68288, 39534, 30070, 132503
2017_01Spring/煉堕/hard.csv, 10, 35678, 21552, 17644, 66379
2017_01Spring/煉堕/normal.csv, 6, 13350, 7214, 1485, 31293
2017_01Spring/静動/easy.csv, 3, 2901, 1355, 938, 6250
2017_01Spring/静動/hard.csv, 11, 32669, 20219, 13151, 63869
2017_01Spring/静動/normal.csv, 6, 11771, 6270, 5000, 23438
2017_02Summer/Absolute-0-/easy.csv, 4, 7744, 2692, 2346, 17521
2017_02Summer/Absolute-0-/hard.csv, 8, 22820, 10486, 7060, 49642
2017_02Summer/Absolute-0-/normal.csv, 6, 12956, 4757, 3867, 29202
2017_02Summer/Beyond the Past/easy.csv, 4, 9200, 5413, 6036, 15521
2017_02Summer/Beyond the Past/hard.csv, 12, 64415, 46579, 41388, 103470
2017_02Summer/Beyond the Past/normal.csv, 8, 24910, 11935, 8795, 52596
2017_02Summer/Chip Braves/easy.csv, 3, 2926, 1668, 1313, 5667
2017_02Summer/Chip Braves/full.csv, 9, 27761, 13566, 11334, 56672
2017_02Summer/Chip Braves/hard.csv, 9, 27163, 12614, 10435, 56672
2017_02Summer/Chip Braves/normal.csv, 6, 13400, 8080, 7766, 23638
2017_02Summer/Chip Treasures/easy.csv, 2, 1865, 560, 375, 4500
2017_02Summer/Chip Treasures/hard+.csv, 11, 30745, 14281, 10843, 65250
2017_02Summer/Chip Treasures/hard.csv, 10, 19228, 10065, 9000, 37463
2017_02Summer/Chip Treasures/normal.csv, 6, 10793, 5147, 3750, 22875
2017_02Summer/Close My Mind/easy.csv, 1, 770, 359, 316, 1582
2017_02Summer/Close My Mind/hard+.csv, 12, 60986, 35075, 39488, 104063
2017_02Summer/Close My Mind/hard.csv, 9, 25406, 17383, 17213, 40500
2017_02Summer/Close My Mind/normal.csv, 5, 16042, 8144, 8438, 30375
2017_02Summer/CWBL PoPP/easy.csv, 4, 2999, 2996, 3000, 3000
2017_02Summer/CWBL PoPP/hard.csv, 14, 2999, 2996, 3000, 3000
2017_02Summer/CWBL PoPP/normal.csv, 12, 2999, 2996, 3000, 3000
2017_02Summer/Don't impress!/easy.csv, 7, 17582, 10807, 12000, 28800
2017_02Summer/Don't impress!/hard.csv, 13, 54600, 29216, 29391, 101541
2017_02Summer/Don't impress!/normal.csv, 11, 52702, 28117, 25333, 101541
2017_02Summer/E.F.B.E/easy.csv, 6, 19592, 8528, 7395, 41433
2017_02Summer/E.F.B.E/hard.csv, 12, 50696, 28638, 23208, 97867
2017_02Summer/E.F.B.E/normal.csv, 9, 35819, 16666, 17344, 70615
2017_02Summer/Enjoy the Summer/easy.csv, 4, 5633, 4014, 3200, 9570
2017_02Summer/Enjoy the Summer/fever.csv, 11, 49505, 27655, 24351, 93860
2017_02Summer/Enjoy the Summer/hard.csv, 10, 34895, 17101, 14520, 70891
2017_02Summer/Enjoy the Summer/normal.csv, 7, 18722, 9809, 8507, 36762
2017_02Summer/Erinnerung/easy.csv, 2, 3572, 888, 500, 9000
2017_02Summer/Erinnerung/hard+.csv, 9, 31910, 18641, 14750, 61000
2017_02Summer/Erinnerung/hard.csv, 7, 14503, 9494, 7575, 26000
2017_02Summer/Erinnerung/normal.csv, 5, 9368, 4671, 3000, 20000
2017_02Summer/MEGALOPOLICE/easy.csv, 2, 2695, 1031, 625, 6250
2017_02Summer/MEGALOPOLICE/hard.csv, 11, 32767, 20106, 16618, 60268
2017_02Summer/MEGALOPOLICE/normal.csv, 6, 12501, 6088, 3750, 27083
2017_02Summer/One PoPP/easy.csv, 7, 17747, 10313, 8147, 34028
2017_02Summer/One PoPP/hard.csv, 15, 106729, 73642, 79630, 161334
2017_02Summer/One PoPP/normal.csv, 11, 39174, 19519, 12007, 84259
2017_02Summer/StarShooting/easy.csv, 3, 4324, 1806, 1401, 9464
2017_02Summer/StarShooting/hard.csv, 11, 24092, 16821, 15370, 39252
2017_02Summer/StarShooting/normal.csv, 7, 13285, 8415, 7794, 23039
2017_02Summer/SUN DA BA RUN DA/Hard(arisan).csv, 12, 45545, 31846, 24000, 79952
2017_02Summer/SUN DA BA RUN DA/Hard(mahou).csv, 11, 30030, 21353, 19730, 48001
2017_02Summer/SUN DA BA RUN DA/Normal.csv, 6, 15519, 8792, 8415, 28445
2017_02Summer/Tropic/easy.csv, 2, 1251, 737, 656, 2297
2017_02Summer/Tropic/hard.csv, 9, 19406, 11927, 10916, 34453
2017_02Summer/Tropic/normal.csv, 5, 9409, 4263, 3063, 20338
2017_02Summer/Unknown Adventure/easy.csv, 4, 6497, 4009, 3674, 11500
2017_02Summer/Unknown Adventure/hard.csv, 10, 47064, 22699, 21908, 93218
2017_02Summer/Unknown Adventure/normal.csv, 8, 24230, 13864, 13336, 44084
2017_02Summer/グリード/easy.csv, 3, 5777, 1390, 483, 14961
2017_02Summer/グリード/hard.csv, 12, 39242, 26396, 27065, 62333
2017_02Summer/グリード/normal.csv, 9, 29798, 17967, 19114, 50460
2017_02Summer/サンバリアーナ サンバリアーノ/easy.csv, 2, 3832, 1064, 875, 9188
2017_02Summer/サンバリアーナ サンバリアーノ/hard.csv, 7, 19050, 9501, 9275, 37042
2017_02Summer/サンバリアーナ サンバリアーノ/normal.csv, 4, 5122, 2746, 2155, 10208
2017_02Summer/ディフィシェント トーン/easy.csv, 2, 3372, 1642, 1039, 7274
2017_02Summer/ディフィシェント トーン/hard+.csv, 11, 38113, 27171, 24955, 60966
2017_02Summer/ディフィシェント トーン/hard.csv, 8, 19545, 11012, 9064, 37618
2017_02Summer/ディフィシェント トーン/normal.csv, 5, 8149, 3755, 3478, 16627
2017_02Summer/微睡の中へ/easy.csv, 1, 808, 415, 325, 1641
2017_02Summer/微睡の中へ/hard.csv, 5, 4316, 2045, 1834, 8775
2017_02Summer/微睡の中へ/normal.csv, 3, 2110, 1375, 1524, 3304
2017_02Summer/涙の顔のち虹の橋/easy.csv, 2, 10277, 1719, 423, 27653
2017_02Summer/涙の顔のち虹の橋/hard.csv, 9, 27894, 13841, 12696, 55302
2017_02Summer/涙の顔のち虹の橋/normal.csv, 5, 22073, 6246, 2890, 55302
2017_02Summer/白薔薇/easy.csv, 2, 1422, 893, 880, 2420
2017_02Summer/白薔薇/hard.csv, 7, 16598, 9005, 7810, 32065
2017_02Summer/白薔薇/normal.csv, 4, 4167, 3016, 2997, 6325
2017_02Summer/蕾/easy.csv, 2, 2110, 1216, 1003, 4014
2017_02Summer/蕾/hard.csv, 8, 25471, 12054, 9081, 53786
2017_02Summer/蕾/normal.csv, 5, 14729, 6435, 4703, 32112
2017_02Summer/黒薔薇/easy.csv, 7, 8325, 5790, 5050, 13879
2017_02Summer/黒薔薇/hard.csv, 12, 51359, 35844, 31688, 84922
2017_02Summer/黒薔薇/normal.csv, 10, 29196, 19695, 16478, 50518
2017_03Autumn/Chip Peaces/easy.csv, 2, 3033, 1260, 834, 6814
2017_03Autumn/Chip Peaces/hard.csv, 7, 10409, 6365, 5840, 18519
2017_03Autumn/Chip Peaces/normal.csv, 5, 7095, 4055, 3524, 13347
2017_03Autumn/Colorful19/easy.csv, 3, 2571, 1695, 397, 5682
2017_03Autumn/Colorful19/hard.csv, 9, 16053, 10545, 7411, 29863
2017_03Autumn/Colorful19/normal.csv, 6, 11321, 5950, 2404, 25350
2017_03Autumn/Demon's↑Carnival!!/easy.csv, 5, 9620, 5932, 5250, 17250
2017_03Autumn/Demon's↑Carnival!!/hard.csv, 11, 42309, 27727, 25444, 72000
2017_03Autumn/Demon's↑Carnival!!/normal.csv, 7, 20517, 11884, 11022, 37534
2017_03Autumn/Ekit PoPP/easy.csv, 8, 24617, 14099, 8333, 50741
2017_03Autumn/Ekit PoPP/hard.csv, 15, 116210, 70767, 62221, 210371
2017_03Autumn/Ekit PoPP/normal.csv, 12, 59564, 42085, 44828, 88889
2017_03Autumn/Heaven's Law/easy.csv, 6, 13656, 5554, 5712, 28521
2017_03Autumn/Heaven's Law/hard.csv, 13, 52903, 35035, 35493, 85562
2017_03Autumn/Heaven's Law/normal.csv, 9, 30634, 17575, 19014, 53241
2017_03Autumn/I Can Not Speak English/easy.csv, 3, 2676, 1602, 1478, 4813
2017_03Autumn/I Can Not Speak English/hard.csv, 9, 27228, 14052, 10651, 55584
2017_03Autumn/I Can Not Speak English/normal.csv, 5, 8181, 4588, 4440, 15022
2017_03Autumn/Initial Sound/easy.csv, 3, 4122, 1740, 1102, 9274
2017_03Autumn/Initial Sound/hard+.csv, 12, 40444, 27989, 25175, 66790
2017_03Autumn/Initial Sound/hard.csv, 8, 17005, 9557, 8105, 32496
2017_03Autumn/Initial Sound/normal.csv, 6, 8540, 3928, 3722, 17341
2017_03Autumn/Moon Break/easy.csv, 4, 5953, 3378, 3016, 11149
2017_03Autumn/Moon Break/hard.csv, 12, 41176, 23257, 21516, 76444
2017_03Autumn/Moon Break/normal.csv, 7, 22191, 11592, 8938, 44909
2017_03Autumn/Ocharake Angels/easy.csv, 3, 6845, 1954, 1125, 16875
2017_03Autumn/Ocharake Angels/hard.csv, 10, 30958, 14924, 9990, 66375
2017_03Autumn/Ocharake Angels/normal.csv, 6, 9583, 5091, 5025, 18000
2017_03Autumn/TATUTAHIME/easy.csv, 4, 7499, 4582, 4253, 13292
2017_03Autumn/TATUTAHIME/hard.csv, 11, 49033, 22873, 20204, 100666
2017_03Autumn/TATUTAHIME/normal.csv, 7, 13841, 9000, 8507, 23394
2017_03Autumn/The Beginning of Autumn ARImix/easy.csv, 2, 2398, 1132, 1350, 4500
2017_03Autumn/The Beginning of Autumn ARImix/hard.csv, 11, 33492, 22431, 19761, 57086
2017_03Autumn/The Beginning of Autumn ARImix/normal.csv, 6, 10300, 5321, 4050, 21000
2017_03Autumn/Trill or Treat☆.。.・°☆/easy.csv, 5, 11104, 6655, 6510, 19531
2017_03Autumn/Trill or Treat☆.。.・°☆/hard.csv, 10, 47507, 30421, 31395, 78125
2017_03Autumn/Trill or Treat☆.。.・°☆/normal.csv, 7, 17109, 11376, 7813, 31829
2017_03Autumn/Ultimate's!!/easy.csv, 7, 21483, 7554, 6208, 48890
2017_03Autumn/Ultimate's!!/hard.csv, 12, 42722, 24132, 18538, 83639
2017_03Autumn/Ultimate's!!/normal.csv, 10, 22581, 15042, 14831, 36822
2017_03Autumn/θ(222)/easy.csv, 6, 10922, 3244, 1944, 26667
2017_03Autumn/θ(222)/hard.csv, 12, 57872, 24310, 17486, 128000
2017_03Autumn/θ(222)/normal.csv, 10, 19716, 10830, 6165, 41549
2017_03Autumn/おｒo/easy.csv, 5, 9722, 6212, 6375, 16056
2017_03Autumn/おｒo/hard+.csv, 12, 37787, 25992, 22028, 64223
2017_03Autumn/おｒo/hard.csv, 11, 37260, 23882, 22028, 64223
2017_03Autumn/おｒo/normal.csv, 8, 15970, 12452, 13997, 20739
2017_03Autumn/ぐんたい行進曲/easy.csv, 3, 4560, 2073, 1418, 9926
2017_03Autumn/ぐんたい行進曲/hard.csv, 10, 51767, 32968, 28421, 91875
2017_03Autumn/ぐんたい行進曲/normal.csv, 7, 28442, 15280, 11924, 56720
2017_03Autumn/せんにゅう！/easy.csv, 6, 5207, 3835, 4010, 7556
2017_03Autumn/せんにゅう！/hard.csv, 11, 37664, 28413, 24032, 59851
2017_03Autumn/せんにゅう！/normal.csv, 8, 17901, 14355, 12252, 26889
2017_03Autumn/どれれどれれ/easy.csv, 4, 4509, 2077, 2066, 9038
2017_03Autumn/どれれどれれ/hard+.csv, 14, 49841, 28566, 30601, 87026
2017_03Autumn/どれれどれれ/hard.csv, 9, 24686, 11574, 8844, 52157
2017_03Autumn/どれれどれれ/normal.csv, 6, 9763, 5533, 3034, 20474
2017_03Autumn/神曲/easy.csv, 5, 13438, 4655, 2809, 31859
2017_03Autumn/神曲/hard+.csv, 15, 90444, 61726, 44172, 163838
2017_03Autumn/神曲/hard.csv, 11, 55236, 26808, 28373, 106243
2017_03Autumn/神曲/normal.csv, 8, 26295, 15613, 8192, 54615
2017_03Autumn/魔ぜッパ！！/easy.csv, 8, 17500, 6284, 3877, 41080
2017_03Autumn/魔ぜッパ！！/hard.csv, 15, 153125, 56287, 37800, 354096
2017_03Autumn/魔ぜッパ！！/normal.csv, 11, 45472, 15830, 13906, 102722
2017_03Autumn/魔ぜッパ！！/semihard.csv, 14, 65751, 33220, 25946, 134480
2018_01Summer/Chip Dreams/easy.csv, 3, 2424, 1431, 900, 4875
2018_01Summer/Chip Dreams/hard+.csv, 9, 15886, 11328, 10463, 25339
2018_01Summer/Chip Dreams/hard.csv, 7, 14167, 9510, 8400, 24084
2018_01Summer/Chip Dreams/normal.csv, 6, 10404, 5442, 5400, 19668
2018_01Summer/Evils/easy.csv, 4, 11269, 6046, 3952, 23362
2018_01Summer/Evils/hard.csv, 13, 49903, 26503, 23361, 96949
2018_01Summer/Evils/normal.csv, 9, 36625, 16143, 7884, 84103
2018_01Summer/Fly like a butterfly/easy.csv, 2, 1577, 547, 438, 3615
2018_01Summer/Fly like a butterfly/hard.csv, 11, 32582, 16311, 14369, 65017
2018_01Summer/Fly like a butterfly/normal.csv, 7, 11307, 6936, 5855, 20662
2018_01Summer/Magical Go Ahead!!!!!/easy.csv, 3, 8977, 5131, 4167, 17222
2018_01Summer/Magical Go Ahead!!!!!/full.csv, 12, 47938, 26887, 25262, 88889
2018_01Summer/Magical Go Ahead!!!!!/hard.csv, 12, 50351, 31627, 28334, 88889
2018_01Summer/Magical Go Ahead!!!!!/normal.csv, 9, 18465, 12351, 11343, 30972
2018_01Summer/sweet sky/easy.csv, 2, 2512, 998, 720, 5640
2018_01Summer/sweet sky/hard.csv, 8, 21494, 6822, 5604, 50135
2018_01Summer/sweet sky/normal.csv, 5, 8066, 3806, 3150, 16727
2018_01Summer/The Rising Future!!!!/easy.csv, 6, 18396, 9885, 7656, 36750
2018_01Summer/The Rising Future!!!!/hard.csv, 13, 156916, 41869, 28481, 385875
2018_01Summer/The Rising Future!!!!/normal.csv, 11, 52403, 28720, 27307, 98000
2018_01Summer/World Engine/easy.csv, 5, 20331, 3465, 2553, 52695
2018_01Summer/World Engine/hard.csv, 11, 128460, 25026, 13961, 333197
2018_01Summer/World Engine/normal.csv, 7, 21053, 9332, 7411, 45015
2018_01Summer/アクアリズム/easy.csv, 3, 5027, 2618, 1722, 10525
2018_01Summer/アクアリズム/hard.csv, 10, 23250, 14590, 11611, 42737
2018_01Summer/アクアリズム/normal.csv, 7, 15749, 6955, 6226, 32915
2018_01Summer/スライム君と3人の魔法使い/easy.csv, 3, 3575, 2193, 1529, 6901
